dataset,modelo,tipo_feature,config,mae,mape,mse,rmse
australian_electricity_demand_dataset,seasonal_naive,estatistico,-,234.76011288095236,3.4956744572335428,105441.46230499298,324.7175115465641
australian_electricity_demand_dataset,naive,estatistico,-,1394.0171111547618,20.57347506061305,2572555.5434582224,1603.9188082500382
australian_electricity_demand_dataset,simple_es,estatistico,-,1394.0171098389271,20.57347504460915,2572555.5382958315,1603.9188066407326
australian_electricity_demand_dataset,damped_es,estatistico,-,2050.30807673285,29.660295630547306,5494695.1663202485,2344.0766127241336
australian_electricity_demand_dataset,ets,estatistico,-,27165.25730675877,432.75175703162193,966276911.3086503,31084.994954296682
australian_electricity_demand_dataset,holt,estatistico,-,27165.25730675877,432.75175703162193,966276911.3086503,31084.994954296682
australian_electricity_demand_dataset,prophet,estatistico,-,395.08773610510667,6.274261392202811,240094.08636754507,489.99396564401184
bitcoin_dataset_without_missing_values,ets,estatistico,-,1260.8716113905461,3.783947644313243,2168757.8861028883,1472.670324988892
bitcoin_dataset_without_missing_values,damped_es,estatistico,-,1652.0025746620183,5.076477292278681,3906758.4473156454,1976.5521615468804
bitcoin_dataset_without_missing_values,seasonal_naive,estatistico,-,4790.266666666666,14.494032529622627,26553473.866666667,5153.0062940643365
bitcoin_dataset_without_missing_values,simple_es,estatistico,-,2410.1333519299824,7.369936229470158,7267458.489640808,2695.822414336821
bitcoin_dataset_without_missing_values,naive,estatistico,-,2410.133333333333,7.369936173628755,7267458.4,2695.8223977109474
bitcoin_dataset_without_missing_values,holt,estatistico,-,1260.8716113905461,3.783947644313243,2168757.8861028883,1472.670324988892
bitcoin_dataset_without_missing_values,prophet,estatistico,-,3561.0866865080375,10.844418335204722,14636091.472972035,3825.714504896051
saugeenday_dataset,naive,estatistico,-,21.496666666666666,33.913377434284456,1583.5616666666663,39.79399033354994
saugeenday_dataset,seasonal_naive,estatistico,-,43.666666666666664,108.75872681305741,2609.9859999999994,51.08802207954424
saugeenday_dataset,simple_es,estatistico,-,21.496666700939336,33.91337766296706,1583.5616630943118,39.79399028866434
saugeenday_dataset,damped_es,estatistico,-,21.496666700939336,33.91337766296706,1583.5616630943118,39.79399028866434
saugeenday_dataset,ets,estatistico,-,21.493536222805535,33.924671973121804,1582.762975425815,39.78395374300818
saugeenday_dataset,holt,estatistico,-,21.493536222805535,33.924671973121804,1582.762975425815,39.78395374300818
saugeenday_dataset,prophet,estatistico,-,22.457525653130176,28.950742294517084,1901.3022381945752,43.60392457330619
sunspot_dataset_without_missing_values,naive,estatistico,-,3.933333333333333,100.0,15.6,3.9496835316262997
sunspot_dataset_without_missing_values,seasonal_naive,estatistico,-,10.3,100.0,220.43333333333334,14.846997451785777
sunspot_dataset_without_missing_values,simple_es,estatistico,-,4.908084742666099,148.73757046663835,24.218184730080644,4.921197489441025
sunspot_dataset_without_missing_values,damped_es,estatistico,-,4.9084938697929505,148.75802682298092,24.22220095868387,4.921605526521185
sunspot_dataset_without_missing_values,ets,estatistico,-,4.8950300396490025,147.47554403660902,24.09188566647762,4.908348568151779
sunspot_dataset_without_missing_values,holt,estatistico,-,4.8950300396490025,147.47554403660902,24.09188566647762,4.908348568151779
sunspot_dataset_without_missing_values,prophet,estatistico,-,32.92885927903564,1444.360565662468,1085.7611304746342,32.95088967652671
us_births_dataset,naive,estatistico,-,1152.6666666666667,12.807585160430552,2588360.7333333334,1608.8383179590587
us_births_dataset,seasonal_naive,estatistico,-,466.6666666666667,4.5313992781621595,506425.4,711.6357214193229
us_births_dataset,simple_es,estatistico,-,1192.3042026984097,12.387782753289578,1875406.002551808,1369.4546369090901
us_births_dataset,holt,estatistico,-,1349.6035331796036,13.175563366941018,2089048.911197474,1445.354251108521
us_births_dataset,ets,estatistico,-,1349.6035331796036,13.175563366941018,2089048.911197474,1445.354251108521
us_births_dataset,damped_es,estatistico,-,1243.579254667539,12.636238564739033,1863133.7925570726,1364.9665902713782
us_births_dataset,prophet,estatistico,-,623.2009439335068,6.395343678567723,609105.4441691793,780.4520767921496
australian_electricity_demand_dataset,linear_regression,lags,n=7,61.22026617595617,0.9829858417047813,6434.929699298444,80.21801355866675
australian_electricity_demand_dataset,knn,lags,n=7,48.43286479716607,0.751478123042462,4374.564328038451,66.1404893241534
australian_electricity_demand_dataset,xgboost,lags,n=7,50.91362829138763,0.7910569697526993,4344.054489128509,65.90944157803575
australian_electricity_demand_dataset,random_forest,lags,n=7,48.18763424850234,0.7400271322725973,4175.2945240031095,64.6165189715688
australian_electricity_demand_dataset,linear_regression,lags,n=14,59.94351208675224,0.9583309609738506,5942.1864531577285,77.08557876255279
australian_electricity_demand_dataset,knn,lags,n=14,58.379972826038674,0.9049461253766969,6077.747925013158,77.9599122948016
australian_electricity_demand_dataset,xgboost,lags,n=14,52.219830411551314,0.8273403241785721,4371.853990799743,66.11999690562412
australian_electricity_demand_dataset,random_forest,lags,n=14,44.245929744855914,0.679682624688392,3772.8356980157573,61.42341327226742
australian_electricity_demand_dataset,linear_regression,lags,n=30,58.950129396918136,0.9435050199060163,5700.004990273587,75.49837740159445
australian_electricity_demand_dataset,knn,lags,n=30,72.93241149584821,1.1521502864953423,8539.49877732094,92.40940848918437
australian_electricity_demand_dataset,xgboost,lags,n=30,46.119725735491045,0.7404380587869737,3453.569637219193,58.7670795362437
australian_electricity_demand_dataset,random_forest,lags,n=30,36.52354248609466,0.5678715399660829,2421.824784241895,49.212039017316634
australian_electricity_demand_dataset,linear_regression,intervalo,w=7,558.4187297914885,9.31104160429915,366414.5633677873,605.3218675777271
australian_electricity_demand_dataset,knn,intervalo,w=7,239.66375471329707,3.811105087197834,134777.47391026161,367.12051687458387
australian_electricity_demand_dataset,xgboost,intervalo,w=7,305.6923131382068,4.913519957737357,166816.16702022497,408.4313492133347
australian_electricity_demand_dataset,random_forest,intervalo,w=7,243.74205083227372,3.900133555527928,133887.53523358094,365.9064569443684
australian_electricity_demand_dataset,linear_regression,intervalo,w=14,849.980184767932,14.419724518141427,910623.0837451473,954.2657301533716
australian_electricity_demand_dataset,knn,intervalo,w=14,399.17356898141435,6.830461522539727,339835.2875654311,582.9539326271255
australian_electricity_demand_dataset,xgboost,intervalo,w=14,495.23988176032367,8.466890276322948,365104.4699983032,604.2387524797654
australian_electricity_demand_dataset,random_forest,intervalo,w=14,386.02550322642674,6.565628279441374,312849.3273575161,559.3293549935638
australian_electricity_demand_dataset,linear_regression,intervalo,w=30,914.73066874178,15.948836170740513,1168571.0676155633,1081.004656611415
australian_electricity_demand_dataset,knn,intervalo,w=30,724.6827307229495,12.423643330115846,999633.9659691283,999.8169662338844
australian_electricity_demand_dataset,xgboost,intervalo,w=30,779.9385037420014,13.660412305338928,949981.4480986724,974.6699175098576
australian_electricity_demand_dataset,random_forest,intervalo,w=30,716.5789530393208,12.241587043494057,912090.7872979027,955.0344429903577
bitcoin_dataset_without_missing_values,linear_regression,lags,n=7,761.3829424356777,2.2877787476894973,925296.9589044139,961.9235722781794
bitcoin_dataset_without_missing_values,knn,lags,n=7,1206.2333333333331,3.6795064538331834,2735758.3799999976,1654.0128113167677
bitcoin_dataset_without_missing_values,xgboost,lags,n=7,1199.3155598958333,3.636661981959941,2059468.8963588714,1435.0849787935456
bitcoin_dataset_without_missing_values,random_forest,lags,n=7,1017.3216666666664,3.08731535605268,1931965.3397633326,1389.951560221914
bitcoin_dataset_without_missing_values,linear_regression,lags,n=14,848.8783766622641,2.542573832862312,1177252.7317970733,1085.0127795547264
bitcoin_dataset_without_missing_values,knn,lags,n=14,1961.7866666666673,5.952884982839098,4946855.992000002,2224.1528706453614
bitcoin_dataset_without_missing_values,xgboost,lags,n=14,1621.0215494791667,4.90105978482519,3264223.7607550304,1806.716292270325
bitcoin_dataset_without_missing_values,random_forest,lags,n=14,1078.5226666666665,3.2835770420971944,2072350.580746666,1439.5661085016784
bitcoin_dataset_without_missing_values,linear_regression,lags,n=30,846.5943579678483,2.53314957768769,1293901.4280951058,1137.4978804793905
bitcoin_dataset_without_missing_values,knn,lags,n=30,4214.986666666667,12.797952482086622,21091386.848,4592.535993108819
bitcoin_dataset_without_missing_values,xgboost,lags,n=30,2203.6080729166665,6.655702472009558,6239055.375602214,2497.810116002058
bitcoin_dataset_without_missing_values,random_forest,lags,n=30,1344.6473333333338,4.094088364364354,2761733.6532066683,1661.8464589746757
bitcoin_dataset_without_missing_values,linear_regression,intervalo,w=7,1441.4322749449161,4.361534095002637,3291303.9970255466,1814.1951375267067
bitcoin_dataset_without_missing_values,knn,intervalo,w=7,1683.666666666667,5.100891862699958,4660329.336000002,2158.7795941225686
bitcoin_dataset_without_missing_values,xgboost,intervalo,w=7,2462.303645833333,7.428832252478265,8121017.594176229,2849.739916935619
bitcoin_dataset_without_missing_values,random_forest,intervalo,w=7,1771.066333333333,5.365165016476807,5197926.173509999,2279.896088314114
bitcoin_dataset_without_missing_values,linear_regression,intervalo,w=14,1827.6077691368207,5.556994896749982,4706099.638262541,2169.354659400473
bitcoin_dataset_without_missing_values,knn,intervalo,w=14,2156.633333333332,6.571733492664481,6252015.379999994,2500.4030435111845
bitcoin_dataset_without_missing_values,xgboost,intervalo,w=14,2798.8768229166667,8.518829700638728,9796278.626440175,3129.9007374739817
bitcoin_dataset_without_missing_values,random_forest,intervalo,w=14,2663.2326666666672,8.086780799940591,9595097.930266669,3097.595507852287
bitcoin_dataset_without_missing_values,linear_regression,intervalo,w=30,3419.2013626959933,10.390420969405877,13539779.616600633,3679.643952422657
bitcoin_dataset_without_missing_values,knn,intervalo,w=30,4799.4,14.462961147285853,24087854.789333336,4907.937936581242
bitcoin_dataset_without_missing_values,xgboost,intervalo,w=30,5173.088020833334,15.667824131962101,28655826.141988117,5353.113686630251
bitcoin_dataset_without_missing_values,random_forest,intervalo,w=30,3785.278666666666,11.37953399390741,15826115.84392666,3978.205103300565
saugeenday_dataset,linear_regression,lags,n=7,8.59371690429476,12.612586830913191,298.3804571210338,17.27369263131175
saugeenday_dataset,knn,lags,n=7,9.937999999999999,15.868693848040943,293.53979999999996,17.133003239362328
saugeenday_dataset,xgboost,lags,n=7,7.604218406677247,11.650055530209762,244.39069861583886,15.633000307549375
saugeenday_dataset,random_forest,lags,n=7,8.607885619051997,13.256402029347521,307.3426042679976,17.531189470997045
saugeenday_dataset,linear_regression,lags,n=14,8.48034177377867,12.382406732342876,294.75118021813904,17.16831908540085
